name,review,rating,meta,ingredients,steps,cooks_note,editors_note,nutrition_facts,url
dutch oven crunchy corned beef,"I found this recipe attached to a 6-pack of beer on St. Patrick's Day in 1995.
I've been serving it as a holiday tradition since. Even self-proclaimed corned beef haters love this corned beef. A typical comment is, ""could be the best corned beef I've ever eaten.""",5.0,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '4 hrs 5 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '10 mins', 'rest_time': None, 'servings': '12', 'soak_time': None, 'total_time': '4 hrs 15 mins', 'yield': '12 servings'}",[],[],"If there is a meat cap over the fat (as is usually the case with the point cut), I trim off that point and rub and grill it separately. I also trim off the fat after I cook the corned beef and before I apply the rub.","Nutrition data for this recipe includes the full amount of ale, onion, and seasonings. The actual amount consumed will vary.","{'Calories': '251', 'Carbs': '16g', 'Fat': '13g', 'Protein': '13g'}",https://www.allrecipes.com/recipe/267704/dutch-oven-crunchy-corned-beef/
spicy spicy ranch dressing,"This spicy ranch dip with hot sauce and cayenne is excellent served with fries, poppers, and even wings.",4.5,"{'active_time': None, 'additional_time': '1 hr', 'bake_time': None, 'cook_time': None, 'cool_time': None, 'fry_time': None, 'prep_time': '5 mins', 'rest_time': None, 'servings': '12', 'soak_time': None, 'total_time': '1 hr 5 mins', 'yield': '1 1/2 cups'}",[],[],unknown,unknown,"{'Calories': '192', 'Carbs': '2g', 'Fat': '20g', 'Protein': '1g'}",https://www.allrecipes.com/recipe/82153/spicy-spicy-ranch-dressing/
amazing oven-roasted potatoes,These oven-roasted potatoes are golden on the outside and tender on the inside. Made with minimum oil for a less greasy option than regular fried potatoes!,4.8,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '1 hr', 'cool_time': None, 'fry_time': None, 'prep_time': '10 mins', 'rest_time': None, 'servings': '6', 'soak_time': None, 'total_time': '1 hr 10 mins', 'yield': None}",[],[],unknown,unknown,"{'Calories': '205', 'Carbs': '38g', 'Fat': '5g', 'Protein': '4g'}",https://www.allrecipes.com/recipe/228682/amazing-oven-roasted-potatoes/
easy curry sauce,"This curry sauce is versatile and can be served as a main course with meats and vegetables or as a sauce for dipping or spicing up veggie side dishes. It's great over baked potatoes, too.",4.1,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '30 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '15 mins', 'rest_time': None, 'servings': '8', 'soak_time': None, 'total_time': '45 mins', 'yield': '4 cups'}",[],[],unknown,unknown,"{'Calories': '75', 'Carbs': '6g', 'Fat': '6g', 'Protein': '2g'}",https://www.allrecipes.com/recipe/25881/basic-curry-sauce/
lemon ginger water,"This lightly sweetened lemon ginger water not only quenches your thirst, but it's also loaded with ginger's many health benefits. Adjust the honey and ginger to your tastes. I like to sip this detox drink throughout the day, especially during cold and flu season. I sometimes like to add turmeric or a couple pinches of cayenne pepper to the mix.",5.0,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': None, 'cool_time': None, 'fry_time': None, 'prep_time': '10 mins', 'rest_time': None, 'servings': '16', 'soak_time': None, 'total_time': '10 mins', 'yield': '1 gallon'}",[],[],unknown,unknown,"{'Calories': '8', 'Carbs': '2g', 'Fat': None, 'Protein': None}",https://www.allrecipes.com/recipe/270414/lemon-ginger-water/
chicken wing dip,"This chicken wing dip is delicious, spicy, and tastes just like hot chicken wings, but without the mess. It is perfect for football and tailgating season. I take this dish to parties and am always asked for the recipe. Serve with tortilla chips.",4.8,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '30 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '10 mins', 'rest_time': None, 'servings': '16', 'soak_time': None, 'total_time': '40 mins', 'yield': None}",[],[],unknown,unknown,"{'Calories': '240', 'Carbs': '2g', 'Fat': '22g', 'Protein': '9g'}",https://www.allrecipes.com/recipe/90544/chicken-wing-dip/
italian mac and cheese,"This Italian mac and cheese dish is rich and creamy, very comforting, and comes together quickly for a tasty weeknight dinner. ",4.8,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '35 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '10 mins', 'rest_time': None, 'servings': '5', 'soak_time': None, 'total_time': '45 mins', 'yield': None}",[],[],I selected the cheese in this recipe for their melting properties.,unknown,"{'Calories': '603', 'Carbs': '40g', 'Fat': '39g', 'Protein': '25g'}",https://www.allrecipes.com/recipe/8502503/italian-mac-and-cheese/
crab-stuffed lobster tail,This stuffed lobster tail recipe features a buttery New England-style cracker and crabmeat stuffing. Serve with fresh lemon wedges and homemade dinner rolls for an exquisite but surprisingly simple meal.,4.6,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '10 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '25 mins', 'rest_time': None, 'servings': '2', 'soak_time': None, 'total_time': '35 mins', 'yield': None}",[],[],unknown,unknown,"{'Calories': '596', 'Carbs': '19g', 'Fat': '41g', 'Protein': '36g'}",https://www.allrecipes.com/recipe/219981/crab-stuffed-lobster-tail/
strawberry dump cake,"This strawberry dump cake is an easy summer dessert to make with both fresh strawberries and canned strawberry pie filling. The cream cheese gives it a bit of a tang and the buttery, crumbly cake topping is delicious.",5.0,"{'active_time': None, 'additional_time': '10 mins', 'bake_time': None, 'cook_time': '30 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '10 mins', 'rest_time': None, 'servings': '16', 'soak_time': None, 'total_time': '50 mins', 'yield': '1 dump cake'}",[],[],unknown,unknown,"{'Calories': '314', 'Carbs': '33g', 'Fat': '19g', 'Protein': '3g'}",https://www.allrecipes.com/recipe/8359551/strawberry-dump-cake/
liver and onions,"Smothered with caramelized onions, this beef liver is delicious and good for you too! Just be sure not to overcook it.",4.7,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '35 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '5 mins', 'rest_time': None, 'servings': '4', 'soak_time': None, 'total_time': '40 mins', 'yield': None}",[],[],unknown,unknown,"{'Calories': '303', 'Carbs': '15g', 'Fat': '16g', 'Protein': '24g'}",https://www.allrecipes.com/recipe/14673/liver-and-onions/
easy tamale casserole,"This tamale casserole gives me memories of home. My mom liked to make the Hamburger Helper version of this recipe. When I moved to another state, I could not find it, so I came up with this. My hubby likes for me to spice this up sometimes, so I will add a 14-ounce can of tomatoes and green chiles or use a Mexican-style cornbread mix.",4.3,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': '35 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '20 mins', 'rest_time': None, 'servings': '6', 'soak_time': None, 'total_time': '55 mins', 'yield': None}",[],[],unknown,unknown,"{'Calories': '515', 'Carbs': '57g', 'Fat': '21g', 'Protein': '28g'}",https://www.allrecipes.com/recipe/237983/easy-tamale-casserole/
carrot hummus,Carrot hummus is my favorite dip of all time. This recipe was created by my friend Mary. Play around with the proportions to taste — you really cannot mess it up!,5.0,"{'active_time': None, 'additional_time': None, 'bake_time': None, 'cook_time': None, 'cool_time': None, 'fry_time': None, 'prep_time': '10 mins', 'rest_time': None, 'servings': '6', 'soak_time': None, 'total_time': '10 mins', 'yield': None}",[],[],"If you want a vegan version, use vegan mayonnaise.",unknown,"{'Calories': '199', 'Carbs': '18g', 'Fat': '14g', 'Protein': '5g'}",https://www.allrecipes.com/recipe/283948/carrot-hummus/
red-hot cinnamon pickles,"These cinnamon pickles are a hit in our region, but we have an aunt from Kansas that remembers them from her childhood.",4.7,"{'active_time': None, 'additional_time': '3 days 11 hrs', 'bake_time': None, 'cook_time': '2 hrs 15 mins', 'cool_time': None, 'fry_time': None, 'prep_time': '1 hr', 'rest_time': None, 'servings': '48', 'soak_time': None, 'total_time': '3 days 14 hrs 15 mins', 'yield': '6 pint jars'}",[],[],unknown,unknown,"{'Calories': '63', 'Carbs': '16g', 'Fat': '0g', 'Protein': '1g'}",https://www.allrecipes.com/recipe/228064/red-hot-cinnamon-pickles/
indian style basmati rice,Savory Indian rice flavored with toasted and fragrant whole spices and fried onions. Soaking the basmati rice before cooking makes all the difference. Serve with your favorite Indian curry or dal. Make sure you warn people not to bite into the whole spices!,4.7,"{'active_time': None, 'additional_time': '15 mins', 'bake_time': None, 'cook_time': '35 mins', 'cool_time': None, 'fry_time': None, 'prep_time': None, 'rest_time': None, 'servings': '6', 'soak_time': None, 'total_time': '50 mins', 'yield': None}",[],[],unknown,unknown,"{'Calories': '216', 'Carbs': '39g', 'Fat': '5g', 'Protein': '4g'}",https://www.allrecipes.com/recipe/72349/indian-style-basmati-rice/
